DARC,DDPG,TD3,DARC_SE,DDPG_SE,TD3_SE
639.9794685,206.6886048,434.6164937,6.44E+02,6.71E+02,6.56E+02
645.0462693,233.244457,428.7979583,6.48E+02,6.92E+02,6.50E+02
644.0692459,233.9556026,430.1175429,6.47E+02,6.80E+02,6.51E+02
648.2027159,226.5841209,434.9619062,6.51E+02,7.00E+02,6.55E+02
644.5406138,302.2896903,432.9190474,6.46E+02,6.74E+02,6.49E+02
649.6641787,323.1990816,431.7151631,6.51E+02,6.72E+02,6.52E+02
646.3040594,483.2991679,439.9988097,6.51E+02,6.75E+02,6.57E+02
648.8036086,467.4393237,426.8009323,6.51E+02,6.77E+02,6.46E+02
649.934926,477.6705709,428.7479161,6.52E+02,6.72E+02,6.47E+02
654.1484489,577.0356023,429.7385732,6.58E+02,6.77E+02,6.49E+02
647.4702022,534.4564229,438.6290596,6.51E+02,6.73E+02,6.55E+02
650.6157355,548.6372024,431.5756628,6.54E+02,6.72E+02,6.50E+02
645.8494181,546.115369,430.8240719,6.52E+02,6.73E+02,6.46E+02
644.6624345,573.1892057,429.6857102,6.49E+02,6.75E+02,6.50E+02
649.5059498,608.130916,432.4182397,6.53E+02,6.71E+02,6.52E+02
651.3965124,623.5821894,431.3345308,6.53E+02,6.76E+02,6.51E+02
652.7075552,623.1240184,434.0313432,6.54E+02,6.77E+02,6.54E+02
650.6440445,641.536268,429.5696664,6.52E+02,6.73E+02,6.49E+02
653.4037881,651.8650834,428.7461918,6.56E+02,6.72E+02,6.49E+02
654.5007664,661.4109941,429.2391176,6.57E+02,6.75E+02,6.48E+02
647.4602743,661.0872527,430.0847691,6.52E+02,6.93E+02,6.48E+02
652.6818223,660.0931418,433.6281208,6.56E+02,6.72E+02,6.53E+02
656.4781644,652.929403,427.7975298,6.58E+02,6.72E+02,6.46E+02
655.4855147,653.9335378,429.6591485,6.58E+02,6.73E+02,6.52E+02
651.7247057,637.2441985,431.2322771,6.53E+02,6.38E+02,6.48E+02
654.5740279,648.9150596,436.4065099,6.57E+02,6.76E+02,6.54E+02
656.0224911,660.2323188,428.7116793,6.58E+02,6.72E+02,6.48E+02
654.117959,639.7764427,434.9766861,6.56E+02,6.73E+02,6.55E+02
656.2580893,581.1260761,425.5430592,6.58E+02,6.68E+02,6.45E+02
653.3976873,660.7694952,428.3542572,6.56E+02,6.75E+02,6.49E+02
652.129284,633.7848711,436.4277975,6.55E+02,6.93E+02,6.53E+02
654.09675,657.7037777,427.6256606,6.56E+02,6.88E+02,6.44E+02
655.4501676,658.3623812,426.5736579,6.58E+02,6.75E+02,6.47E+02
656.435651,657.9829782,423.0985293,6.59E+02,6.66E+02,6.45E+02
658.4611249,653.7347697,430.8086698,6.61E+02,6.74E+02,6.52E+02
655.9641508,657.6598504,430.5261106,6.57E+02,6.72E+02,6.50E+02
650.9127163,645.0069332,427.4271021,6.54E+02,6.75E+02,6.49E+02
655.0813688,649.9891951,433.5845797,6.58E+02,6.87E+02,6.52E+02
659.9975439,651.1054781,431.8634444,6.63E+02,6.90E+02,6.48E+02
655.1855096,645.5084426,432.4664088,6.57E+02,7.00E+02,6.51E+02
651.3559505,641.7590298,428.3644933,6.53E+02,6.71E+02,6.46E+02
653.9629461,649.8506857,428.7184386,6.55E+02,6.61E+02,6.46E+02
654.2570206,625.7376279,430.8188638,6.56E+02,6.75E+02,6.51E+02
656.5010879,592.491545,430.9850387,6.59E+02,6.73E+02,6.53E+02
655.9754996,633.0752464,430.0312397,6.57E+02,6.74E+02,6.47E+02
657.1781023,617.959345,432.5270475,6.59E+02,6.71E+02,6.53E+02
660.6004731,624.5186985,433.8661056,6.63E+02,6.81E+02,6.57E+02
